@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data


-5,-3,0,False,True,True,True,True,14,21,28,29,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,13,25,26,28,1,18,Stop,True,False,False,True,Stop
-7,-5,-2,False,True,True,True,True,15,26,27,28,1,18,Stop,True,False,False,True,Stop
-8,-6,-3,False,True,True,True,True,15,24,24,28,1,18,Stop,True,False,False,True,Stop
-9,-7,-4,False,True,True,True,True,16,21,24,26,1,18,Stop,True,False,False,True,South
-10,-8,-5,False,True,True,True,True,14,24,21,29,1,17,South,True,False,True,False,South
-11,-9,-6,False,True,True,True,True,12,20,22,26,1,16,South,True,False,False,False,South
-12,-10,-7,False,True,True,True,True,12,20,20,25,1,15,South,True,False,False,False,South
-13,-11,-8,False,True,True,True,True,9,19,20,24,1,14,South,True,False,False,False,South
-5,-3,0,False,True,True,True,True,11,25,27,27,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,10,24,30,26,1,18,Stop,True,False,False,True,Stop
-7,-5,-2,False,True,True,True,True,11,22,29,27,1,18,Stop,True,False,False,True,South
-8,-6,-3,False,True,True,True,True,13,22,29,24,1,17,South,True,False,True,False,South
-9,-7,-4,False,True,True,True,True,11,23,25,27,1,16,South,True,False,False,False,South
-10,-8,-5,False,True,True,True,True,11,28,27,24,1,15,South,True,False,False,False,South
-11,-9,-6,False,True,True,True,True,9,19,25,20,1,14,South,True,False,False,False,South
-12,-10,-7,False,True,True,True,True,11,21,23,22,1,13,South,True,False,True,False,South
-13,-11,-8,False,True,True,True,True,6,18,24,23,1,12,South,True,False,False,False,South
-14,-12,-9,False,True,True,True,True,8,16,24,21,1,11,South,True,False,True,False,South
-15,-13,-10,False,True,True,True,True,7,17,22,26,1,10,South,True,False,True,False,South
-16,-14,-11,False,True,True,True,True,8,16,23,26,1,9,South,True,False,True,False,South
-17,-15,-12,False,True,True,True,True,6,8,20,28,1,8,South,True,False,True,False,South
-18,-16,-13,False,True,True,True,True,5,11,22,22,1,7,South,True,False,True,False,South
-19,-17,-14,False,True,True,True,True,5,11,23,30,1,6,South,True,False,False,False,South
-20,-18,-15,False,True,True,True,True,2,11,23,27,1,5,South,True,False,False,False,East
-21,-19,-16,False,True,True,True,True,4,9,19,27,2,5,East,False,False,False,False,East
-22,-20,-17,False,True,True,True,True,5,6,18,29,3,5,East,False,False,False,False,North
-23,-21,-18,False,True,True,True,True,5,9,18,26,3,6,North,False,False,False,False,North
-24,-22,-19,False,True,True,True,True,0,8,21,25,3,7,North,True,False,False,False,North
