@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data


-5,-3,0,False,True,True,True,True,0,14,6,0,8,1,Stop,False,True,False,False,East
-6,-4,-1,False,True,True,True,True,0,13,5,0,9,1,East,False,True,False,True,East
-7,-5,-2,False,True,True,True,True,0,12,6,9,10,1,East,False,True,False,True,West
-8,-6,-3,False,True,True,True,True,0,12,8,15,9,1,West,False,True,False,True,East
-9,-7,-4,False,True,True,True,True,0,12,5,10,10,1,East,False,True,False,True,East
-10,-8,-5,False,True,True,True,True,0,14,9,7,11,1,East,False,True,False,True,West
-11,-9,-6,False,True,True,True,True,0,14,8,8,10,1,West,False,True,False,True,East
-12,-10,-7,False,True,True,True,True,0,14,8,7,11,1,East,False,True,False,True,East
-13,-11,-8,False,True,True,True,True,0,15,9,6,12,1,East,False,True,True,False,West
-14,-12,-9,False,True,True,True,True,0,13,8,9,11,1,West,False,True,False,True,East
-15,-13,-10,False,True,True,True,True,0,14,5,8,12,1,East,False,True,True,False,North
-16,-14,-11,False,True,True,True,True,0,14,13,9,12,2,North,True,False,True,False,South
-17,-15,-12,False,True,True,True,True,0,12,3,7,12,1,South,False,True,True,False,North
-18,-16,-13,False,True,True,True,True,0,5,6,6,12,2,North,True,False,True,False,South
-19,-17,-14,False,True,True,True,True,0,14,6,9,12,1,South,False,True,True,False,North
-20,-18,-15,False,True,True,True,True,0,11,6,5,12,2,North,True,False,True,False,North
-21,-19,-16,False,True,True,True,True,0,7,7,7,12,3,North,True,False,True,False,South
-22,-20,-17,False,True,True,True,True,0,12,5,6,12,2,South,True,False,True,False,South
-23,-21,-18,False,True,True,True,True,0,13,6,5,12,1,South,False,True,True,False,West
-24,-22,-19,False,True,True,True,True,0,12,7,10,11,1,West,False,True,False,True,East
-25,-23,-20,False,True,True,True,True,0,16,10,0,12,1,East,False,True,True,False,West
174,-24,-21,False,True,True,True,True,0,13,11,0,11,1,West,False,True,False,True,East
173,-25,-22,False,True,True,True,True,0,14,6,0,12,1,East,False,True,True,False,West
172,174,-23,False,True,True,True,True,0,12,6,7,11,1,West,False,True,False,True,West
171,173,-24,False,True,True,True,True,0,9,5,8,10,1,West,False,True,False,True,West
170,172,-25,False,True,True,True,True,0,9,5,9,9,1,West,False,True,False,True,West
169,171,174,False,False,True,True,True,0,0,3,15,8,1,West,False,True,False,False,West
168,170,173,False,False,True,True,True,0,0,4,12,7,1,West,False,True,False,False,East
167,169,172,False,False,True,True,True,0,0,3,13,8,1,East,False,True,False,False,East
166,168,171,False,False,True,True,True,0,0,5,9,9,1,East,False,True,False,True,West
