@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data


-5,-3,0,False,True,True,True,True,14,22,28,31,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,11,29,26,34,1,18,Stop,True,False,False,True,Stop
-7,-5,-2,False,True,True,True,True,14,29,24,33,1,18,Stop,True,False,False,True,Stop
-8,-6,-3,False,True,True,True,True,14,23,24,36,1,18,Stop,True,False,False,True,Stop
-9,-7,-4,False,True,True,True,True,13,23,28,34,1,18,Stop,True,False,False,True,Stop
-10,-8,-5,False,True,True,True,True,6,24,30,32,1,18,Stop,True,False,False,True,South
-11,-9,-6,False,True,True,True,True,12,27,27,31,1,17,South,True,False,True,False,South
-12,-10,-7,False,True,True,True,True,14,22,25,30,1,16,South,True,False,False,False,South
-13,-11,-8,False,True,True,True,True,10,19,26,27,1,15,South,True,False,False,False,South
-14,-12,-9,False,True,True,True,True,9,20,24,26,1,14,South,True,False,False,False,South
-15,-13,-10,False,True,True,True,True,10,19,23,27,1,13,South,True,False,True,False,South
-16,-14,-11,False,True,True,True,True,9,16,25,26,1,12,South,True,False,False,False,South
-17,-15,-12,False,True,True,True,True,8,16,23,23,1,11,South,True,False,True,False,South
-18,-16,-13,False,True,True,True,True,6,15,20,26,1,10,South,True,False,True,False,South
-19,-17,-14,False,True,True,True,True,5,15,24,24,1,9,South,True,False,True,False,South
-20,-18,-15,False,True,True,True,True,4,10,22,25,1,8,South,True,False,True,False,South
-21,-19,-16,False,True,True,True,True,7,11,22,20,1,7,South,True,False,True,False,South
-22,-20,-17,False,True,True,True,True,5,7,20,25,1,6,South,True,False,False,False,East
-23,-21,-18,False,True,True,True,True,8,9,18,19,2,6,East,False,False,False,True,East
176,-22,-19,False,True,True,True,True,6,7,21,26,3,6,East,False,False,False,False,North
175,-23,-20,False,True,True,True,True,7,7,19,20,3,7,North,True,False,False,False,North
174,176,-21,False,True,True,True,True,8,5,21,19,3,8,North,True,False,False,False,East
173,175,-22,False,True,True,True,True,4,8,21,21,4,8,East,False,False,False,False,North
172,174,-23,False,True,True,True,True,1,6,20,23,4,9,North,False,False,False,False,East
171,173,176,False,False,True,True,True,0,8,20,21,5,9,East,False,False,False,False,South
170,172,175,False,False,True,True,True,0,5,19,21,5,8,South,False,False,False,False,South
169,171,174,False,False,True,True,True,0,7,17,18,5,7,South,False,False,False,False,South
168,170,173,False,False,True,True,True,0,6,15,18,5,6,South,False,False,False,False,East
167,169,172,False,False,True,True,True,0,7,13,20,6,6,East,False,True,False,False,East
