@relation prueba-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}

@data
0,True,True,True,True,14,21,28,29,1,18,Stop,True,False,False,True,Stop
-1,True,True,True,True,13,25,26,28,1,18,Stop,True,False,False,True,Stop
-2,True,True,True,True,15,26,27,28,1,18,Stop,True,False,False,True,Stop
-3,True,True,True,True,15,24,24,28,1,18,Stop,True,False,False,True,Stop
-4,True,True,True,True,16,21,24,26,1,18,Stop,True,False,False,True,South
-5,True,True,True,True,14,24,21,29,1,17,South,True,False,True,False,South
-6,True,True,True,True,12,20,22,26,1,16,South,True,False,False,False,South
-7,True,True,True,True,12,20,20,25,1,15,South,True,False,False,False,South
-8,True,True,True,True,9,19,20,24,1,14,South,True,False,False,False,South
0,True,True,True,True,11,25,27,27,1,18,Stop,True,False,False,True,Stop
-1,True,True,True,True,10,24,30,26,1,18,Stop,True,False,False,True,Stop
-2,True,True,True,True,11,22,29,27,1,18,Stop,True,False,False,True,South
-3,True,True,True,True,13,22,29,24,1,17,South,True,False,True,False,South
-4,True,True,True,True,11,23,25,27,1,16,South,True,False,False,False,South
-5,True,True,True,True,11,28,27,24,1,15,South,True,False,False,False,South
-6,True,True,True,True,9,19,25,20,1,14,South,True,False,False,False,South
-7,True,True,True,True,11,21,23,22,1,13,South,True,False,True,False,South
-8,True,True,True,True,6,18,24,23,1,12,South,True,False,False,False,South
-9,True,True,True,True,8,16,24,21,1,11,South,True,False,True,False,South
-10,True,True,True,True,7,17,22,26,1,10,South,True,False,True,False,South
-11,True,True,True,True,8,16,23,26,1,9,South,True,False,True,False,South
-12,True,True,True,True,6,8,20,28,1,8,South,True,False,True,False,South
-13,True,True,True,True,5,11,22,22,1,7,South,True,False,True,False,South
-14,True,True,True,True,5,11,23,30,1,6,South,True,False,False,False,South
-15,True,True,True,True,2,11,23,27,1,5,South,True,False,False,False,East
-16,True,True,True,True,4,9,19,27,2,5,East,False,False,False,False,East
-17,True,True,True,True,5,6,18,29,3,5,East,False,False,False,False,North
-18,True,True,True,True,5,9,18,26,3,6,North,False,False,False,False,North
-19,True,True,True,True,0,8,21,25,3,7,North,True,False,False,False,North
-20,True,True,True,True,0,6,17,24,3,8,North,True,False,False,False,East
-21,True,True,True,True,0,7,16,22,4,8,East,False,False,False,False,North
-22,True,True,True,True,0,9,20,24,4,9,North,False,False,False,False,North
-23,True,True,True,True,3,13,22,22,4,10,North,False,False,False,True,West
-24,True,True,True,True,0,12,26,25,3,10,West,True,False,False,True,South
175,False,True,True,True,0,14,23,25,3,9,South,True,False,False,False,South
174,False,True,True,True,0,8,24,25,3,8,South,True,False,False,False,South
173,False,True,True,True,0,15,21,25,3,7,South,True,False,False,False,South
172,False,True,True,True,0,7,23,27,3,6,South,False,False,False,False,South
171,False,True,True,True,0,8,18,30,3,5,South,False,False,False,False,East
170,False,True,True,True,0,6,17,30,4,5,East,False,False,False,False,North
169,False,True,True,True,0,11,20,27,4,6,North,False,False,False,False,East
168,False,True,True,True,0,4,20,26,5,6,East,False,False,False,False,East
