@relation prueba-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West}

@data
523,False,False,True,False,0,0,7,0,14,9,South,False,False,True,False,South
-2,True,True,True,True,15,17,13,17,1,18,Stop,True,False,False,True,South
381,False,False,True,True,0,0,3,8,4,7,North,False,False,False,False,North
380,True,False,False,True,3,0,0,16,7,5,West,False,False,False,True,West
365,False,True,False,True,0,0,0,17,14,4,West,False,False,False,False,West
386,False,False,True,True,0,0,5,9,1,5,South,True,False,False,False,South
374,False,False,True,True,0,0,1,12,13,10,North,False,False,False,False,East
380,True,False,False,True,3,0,0,16,7,5,West,False,False,False,True,West
173,False,True,True,True,0,1,9,14,10,9,East,False,False,False,False,North
354,False,False,True,True,0,0,13,2,20,14,East,False,False,True,False,North
348,False,False,True,True,0,0,14,4,23,13,South,False,True,True,False,West
188,False,True,True,True,0,1,11,13,10,7,East,False,False,False,False,East
381,False,False,True,True,0,0,8,8,3,4,East,False,False,False,False,North
-20,True,True,True,True,0,6,17,24,3,8,North,True,False,False,False,East
565,False,False,False,True,0,0,0,10,10,4,East,False,False,False,False,North
374,False,False,True,True,0,0,6,25,9,7,North,False,False,False,False,North
168,True,False,True,True,1,0,13,25,11,5,East,False,False,True,False,North
179,False,True,True,True,0,6,11,24,7,6,East,False,True,False,True,East
354,False,False,True,True,0,0,9,7,17,13,North,True,False,False,False,North
370,False,False,True,True,0,0,12,21,9,11,North,False,False,False,False,North
574,False,False,False,True,0,0,0,8,8,8,North,False,False,False,False,North
355,False,False,True,True,0,0,11,8,17,12,East,False,False,False,False,North
568,False,False,False,True,0,0,0,6,4,6,South,False,False,False,False,East
-8,True,True,True,True,2,8,12,15,7,8,South,False,False,False,False,East
380,False,False,True,True,0,0,0,0,4,8,North,False,False,False,False,North
-7,True,True,True,True,16,11,4,18,1,14,South,True,False,False,False,South
-11,True,True,True,True,11,14,13,27,1,8,South,True,False,True,False,South
541,False,False,True,False,0,0,16,0,23,16,West,False,False,False,True,West
387,True,False,False,True,13,0,0,10,7,9,East,False,False,False,True,West
376,False,False,True,True,0,0,11,15,14,5,South,False,False,False,False,South
-1,True,True,True,True,14,8,8,19,1,11,Stop,True,False,False,True,South
529,False,False,True,False,0,0,12,0,19,10,West,False,True,False,False,West
375,False,False,True,True,0,0,6,7,3,8,West,True,False,False,False,North
181,False,True,True,True,0,8,12,26,5,6,East,False,False,False,False,East
527,False,False,True,False,0,0,10,0,17,10,West,False,True,False,False,West
377,False,True,True,False,0,11,2,0,4,8,North,False,False,False,False,North
378,True,False,False,True,5,0,0,13,6,5,West,False,False,False,True,West
526,False,False,True,False,0,0,10,0,21,16,West,False,False,False,False,West
385,True,False,False,True,9,0,0,17,5,9,West,False,False,False,False,West
345,False,False,True,True,0,0,10,2,22,15,North,False,False,False,False,East
-15,True,True,True,True,7,7,11,29,3,6,East,False,False,False,False,East
382,True,False,False,True,6,0,0,14,2,9,West,False,False,False,True,West
-16,True,True,True,True,1,8,15,22,7,4,South,False,False,False,False,East
181,True,False,True,True,3,0,0,10,9,5,South,False,False,False,False,West
-7,True,True,True,True,7,4,4,11,4,9,East,False,False,False,True,East
385,False,False,True,True,0,0,9,13,12,8,East,False,False,False,False,North
521,False,False,True,False,0,0,7,0,20,12,South,False,False,True,False,South
192,True,False,True,True,8,0,4,14,5,10,North,True,False,False,False,East
386,True,False,False,True,5,0,0,11,6,8,South,False,False,False,False,East
570,False,False,False,True,0,0,0,16,8,5,North,False,False,False,False,North
572,False,False,False,True,0,0,0,8,4,10,North,False,False,False,True,South
348,False,False,True,True,0,0,14,4,23,13,South,False,True,True,False,West
572,False,False,True,False,0,0,7,0,18,9,North,False,False,False,False,East
537,False,False,True,False,0,0,18,0,22,15,West,False,False,False,False,West
-10,True,True,True,True,11,7,4,3,1,10,South,True,False,True,False,South
-22,True,True,True,True,6,4,13,26,8,6,East,False,False,False,False,South
527,False,False,True,False,0,0,10,0,17,10,West,False,True,False,False,West
-7,True,True,True,True,8,9,5,12,1,12,South,True,False,False,False,South
529,False,False,True,False,0,0,12,0,19,10,West,False,True,False,False,West
382,True,False,False,True,6,0,0,14,2,9,West,False,False,False,True,West
376,False,False,True,True,0,0,2,4,4,8,North,False,False,False,False,West
374,False,False,True,True,0,0,3,0,19,10,South,False,False,False,False,East
-6,True,True,True,True,7,5,3,12,4,9,East,False,False,False,True,East
367,False,False,True,True,0,0,18,19,9,14,North,False,False,False,False,North
-16,True,True,True,True,7,6,23,27,2,6,East,False,False,False,True,East
364,False,False,True,True,0,0,17,16,11,15,East,False,True,False,False,East
364,False,False,True,True,0,0,13,19,11,9,North,False,False,True,False,North
-14,True,True,True,True,3,1,5,11,1,7,South,True,False,True,False,South
377,False,True,True,False,0,11,2,0,4,8,North,False,False,False,False,North
374,False,False,True,True,0,0,1,12,13,10,North,False,False,False,False,East
