@relation prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute scoreN numeric
@attribute ghost1-livingN {True,False}
@attribute ghost2-livingN {True,False}
@attribute ghost3-livingN {True,False}
@attribute ghost4-livingN {True,False}
@attribute distance-ghost1N numeric
@attribute distance-ghost2N numeric
@attribute distance-ghost3N numeric
@attribute distance-ghost4N numeric
@attribute prev-distance-ghost1N numeric
@attribute prev-distance-ghost2N numeric
@attribute prev-distance-ghost3N numeric
@attribute prev-distance-ghost4N numeric
@attribute posXN numeric
@attribute posYN numeric
@attribute directionN {North,South,East,West,Stop}
@attribute wall-eastN {True,False}
@attribute wall-southN {True,False}
@attribute wall-westN {True,False}
@attribute wall-northN {True,False}
@attribute moveN {North,South,East,West,Stop}
@attribute fx numeric

@data
-2,True,True,True,True,26,25,19,20,28,24,22,22,17,13,Stop,False,True,False,True,West,-5,True,True,True,True,20,21,14,17,27,26,20,19,15,12,South,True,False,True,False,South,0.928819
-3,True,True,True,True,24,25,16,20,26,25,19,20,16,13,West,False,True,False,True,West,-6,True,True,True,True,17,18,14,13,20,21,14,17,15,11,South,False,True,False,False,West,0.940346
-4,True,True,True,True,27,26,20,19,24,25,16,20,15,13,West,True,False,False,True,South,-7,True,True,True,True,18,17,13,15,17,18,14,13,14,11,West,False,True,False,True,West,1.003151
-5,True,True,True,True,20,21,14,17,27,26,20,19,15,12,South,True,False,True,False,South,-8,True,True,True,True,16,10,9,12,18,17,13,15,13,11,West,False,False,False,False,South,1.064269
-6,True,True,True,True,17,18,14,13,20,21,14,17,15,11,South,False,True,False,False,West,-9,True,True,True,True,15,15,12,9,16,10,9,12,13,10,South,True,False,True,False,South,1.121795
-7,True,True,True,True,18,17,13,15,17,18,14,13,14,11,West,False,True,False,True,West,-10,True,True,True,True,9,13,11,10,15,15,12,9,13,9,South,True,False,True,False,South,1.133333
-8,True,True,True,True,16,10,9,12,18,17,13,15,13,11,West,False,False,False,False,South,-11,True,True,True,True,14,14,9,8,9,13,11,10,13,8,South,True,False,True,False,South,1.280687
-9,True,True,True,True,15,15,12,9,16,10,9,12,13,10,South,True,False,True,False,South,-12,True,True,True,True,12,10,9,9,14,14,9,8,13,7,South,True,False,True,False,South,1.485201
-10,True,True,True,True,9,13,11,10,15,15,12,9,13,9,South,True,False,True,False,South,-13,True,True,True,True,13,4,11,9,12,10,9,9,13,6,South,True,False,True,False,South,1.493506
-11,True,True,True,True,14,14,9,8,9,13,11,10,13,8,South,True,False,True,False,South,-14,True,True,True,True,17,11,9,7,13,4,11,9,13,5,South,False,False,True,False,South,1.655405
-12,True,True,True,True,12,10,9,9,14,14,9,8,13,7,South,True,False,True,False,South,-15,True,True,True,True,14,7,11,6,17,11,9,7,13,4,South,True,False,True,False,South,1.511364
