@relation prueba-weka.filters.unsupervised.attribute.Remove-R19-37

@attribute score numeric
@attribute ghosts-living numeric
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}

@data
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop
-3,4,0,11,6,5,0,11,8,5,12,12,North,False,False,False,False,East
-4,4,0,13,6,7,0,11,6,5,13,12,East,False,False,False,False,North
-5,4,0,15,8,8,0,13,6,7,13,13,North,False,False,False,False,West
193,4,0,15,8,6,0,15,8,6,11,13,West,False,False,False,False,West
192,4,0,15,8,4,0,15,8,6,10,13,West,False,False,False,False,West
191,4,0,15,8,6,0,15,8,4,9,13,West,False,False,False,False,South
190,4,0,15,6,6,0,15,8,6,9,12,South,False,False,False,False,West
189,4,0,13,6,6,0,15,6,6,8,12,West,False,False,False,False,West
188,4,0,11,6,6,0,13,6,6,7,12,West,False,False,False,False,West
187,4,0,11,4,6,0,11,6,6,6,12,West,False,False,False,False,South
183,4,0,7,2,6,0,7,2,4,4,10,West,False,False,False,False,West
181,4,0,8,2,9,0,9,2,7,3,9,South,False,False,False,False,South
180,4,0,6,2,10,0,8,2,9,3,8,South,False,False,False,False,West
179,4,0,8,2,12,0,6,2,10,2,8,West,False,False,False,False,South
177,4,0,7,2,10,0,7,2,12,3,7,East,False,False,False,False,East
176,4,0,5,1,8,0,7,2,10,4,7,East,False,False,False,False,North
375,4,0,6,0,6,0,5,1,8,4,8,North,False,False,False,False,South
373,4,0,3,0,10,0,5,0,8,4,6,South,False,False,False,False,South
372,4,0,1,0,10,0,3,0,10,4,5,South,False,False,False,False,East
571,4,0,0,0,10,0,1,0,10,5,5,East,False,False,False,False,North
570,4,0,0,0,9,0,0,0,10,5,6,North,False,False,False,False,North
569,4,0,0,0,7,0,0,0,9,5,7,North,False,False,False,False,North
568,4,0,0,0,6,0,0,0,7,5,8,North,False,False,False,False,North
567,4,0,0,0,4,0,0,0,6,5,9,North,False,False,False,False,North
566,4,0,0,0,4,0,0,0,4,5,10,North,False,False,False,False,North
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop
-3,4,0,10,7,4,0,11,8,3,12,10,Stop,False,False,False,False,North
-7,4,0,16,10,6,0,14,10,6,14,12,East,False,False,False,False,East
-8,4,0,18,12,6,0,16,10,6,15,12,East,False,False,False,False,East
