@relation 'adult-data-training-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4,14-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0'

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute salary {>50K,<=50K}

@data
0.001502,?,0.996077,0.000403,Married-civ-spouse,?,Husband,White,Male,0,0.088481,0.00044,>50K
0.00027,Private,1,0.000047,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.000208,>50K
0.001131,Private,0.999999,0.000397,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,0.001223,>50K
0.000132,Private,1,0.000024,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,0.000106,<=50K
0.000335,Private,1,0.000055,Separated,Other-service,Not-in-family,White,Female,0,0,0.000097,<=50K
0.000304,Private,0.999892,0.00007,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.014696,0.000312,>50K
0.000331,?,1,0.000036,Never-married,?,Unmarried,White,Male,0,0,0.000207,<=50K
0.000217,State-gov,1,0.000044,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.000161,<=50K
0.000195,Private,0.998269,0.000039,Divorced,Exec-managerial,Not-in-family,White,Male,0.058819,0,0.000217,>50K
0.000277,Private,0.99804,0.000106,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0.062579,0,0.000407,>50K
0.000247,Private,1,0.000082,Divorced,Sales,Own-child,White,Male,0,0,0.00033,<=50K
0.000082,Private,1,0.000034,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0.000048,<=50K
0.000245,Private,1,0.000038,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.00019,>50K
0.000156,Private,1,0.000052,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0.000252,<=50K
0.00015,Federal-gov,1,0.000063,Divorced,Protective-serv,Not-in-family,White,Male,0,0,0.000242,>50K
0.000273,Private,1,0.000088,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.000352,>50K
0.000164,Private,1,0.000028,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.000158,>50K
0.000281,Private,1,0.000101,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,0.00045,<=50K
0.000226,Private,0.999909,0.000065,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.013491,0,0.00013,>50K
0.00017,Self-emp-inc,1,0.00006,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.000161,>50K
0.000139,Private,0.999939,0.000046,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.011059,0,0.000178,>50K
0.000247,Local-gov,1,0.00009,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.000202,>50K
0.000531,Private,1,0.000086,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,0.000342,<=50K
0.000223,Private,1,0.000033,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.000146,<=50K
0.0002,Private,1,0.000046,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.000205,>50K
0.000254,Private,1,0.000044,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0.000416,>50K
0.000388,Self-emp-not-inc,0.998525,0.000042,Married-civ-spouse,Sales,Husband,White,Male,0.054287,0,0.000353,>50K
0.000136,Private,1,0.000057,Never-married,Adm-clerical,Unmarried,White,Female,0,0,0.000227,<=50K
0.000105,Private,1,0.000074,Never-married,Exec-managerial,Own-child,White,Male,0,0,0.000131,<=50K
0.000479,Private,0.997635,0.000104,Divorced,Prof-specialty,Not-in-family,White,Female,0.068739,0,0.000383,>50K
0.000187,Private,0.999946,0.000055,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0.010352,0.000219,>50K
0.000238,State-gov,1,0.000092,Never-married,Craft-repair,Not-in-family,White,Female,0,0,0.000366,<=50K
0.000335,Private,1,0.000082,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.000235,>50K
0.000449,Private,1,0.000127,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,0.000391,<=50K
0.000236,Private,1,0.000038,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,0.000304,<=50K
0.000229,Local-gov,1,0.000065,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.000199,>50K
0.000105,Private,1,0.000059,Never-married,Sales,Own-child,White,Female,0,0,0.000274,<=50K
0.000179,Private,1,0.000054,Never-married,Sales,Unmarried,White,Female,0,0,0.000209,<=50K
0.000132,Self-emp-not-inc,1,0.000043,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.000256,<=50K
0.000176,Self-emp-not-inc,1,0.000039,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.000193,<=50K
0.000198,Self-emp-not-inc,1,0.000022,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.000126,<=50K
0.000177,Private,1,0.000032,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0.00018,<=50K
0.000047,Private,1,0.000016,Never-married,Transport-moving,Not-in-family,White,Male,0,0,0.000072,<=50K
0.000268,Local-gov,1,0.000081,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.000249,<=50K
0.000359,Private,1,0.000109,Never-married,Adm-clerical,Unmarried,White,Male,0,0,0.000435,<=50K
0.000522,Private,0.997091,0.000094,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.076221,0,0.00047,>50K
0.000233,Self-emp-inc,1,0.000072,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.000299,>50K
0.00008,Private,1,0.00004,Never-married,Adm-clerical,Own-child,White,Female,0,0,0.00004,<=50K
0.00014,?,1,0.00007,Never-married,?,Own-child,White,Female,0,0,0.000156,<=50K
0.000266,Private,1,0.000096,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.000355,>50K
0.000167,Private,0.99978,0.000043,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.02096,0,0.000167,>50K
0.000301,Local-gov,1,0.000049,Divorced,Other-service,Not-in-family,White,Male,0,0,0.000218,<=50K
0.000358,Private,1,0.000116,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.000387,<=50K
0.000232,Local-gov,1,0.000051,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0.00034,<=50K
0.00059,Private,0.996698,0.000111,Married-civ-spouse,Transport-moving,Husband,White,Male,0.081194,0,0.000501,>50K
0.000119,Federal-gov,0.999506,0.000053,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.031432,0,0.000164,>50K
0.00155,?,0.999998,0.000197,Married-civ-spouse,?,Husband,White,Male,0,0,0.001528,<=50K
0.000154,Private,0.999931,0.000063,Never-married,Exec-managerial,Other-relative,White,Male,0,0.011768,0.000241,>50K
0.000509,Private,1,0.000092,Divorced,Other-service,Not-in-family,White,Male,0,0,0.000407,<=50K
0.00025,Private,1,0.000043,Divorced,Other-service,Other-relative,White,Male,0,0,0.000144,<=50K
