@relation adult-data-training-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cambodia,England,Puerto-Rico,Canada,Germany,Outlying-US(Guam-USVI-etc),India,Japan,Greece,South,China,Cuba,Iran,Honduras,Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,Dominican-Republic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,Scotland,Thailand,Yugoslavia,El-Salvador,Trinadad&Tobago,Peru,Hong,Holand-Netherlands}
@attribute salary {>50K,<=50K}

@data
0.328767,?,Assoc-voc,0.666667,Married-civ-spouse,?,Husband,White,Male,0.554408,0.112245,United-States,>50K
0.479452,Private,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.397959,United-States,>50K
0.273973,Private,Bachelors,0.8,Married-civ-spouse,Tech-support,Wife,White,Female,0,0.397959,United-States,>50K
0.452055,Private,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0.397959,United-States,<=50K
0.520548,Private,HS-grad,0.533333,Separated,Other-service,Not-in-family,White,Female,0,0.153061,United-States,<=50K
0.30137,Private,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.433196,0.397959,United-States,>50K
0.643836,?,11th,0.4,Never-married,?,Unmarried,White,Male,0,0.397959,United-States,<=50K
0.506849,State-gov,Assoc-voc,0.666667,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0.397959,United-States,<=50K
0.383562,Private,HS-grad,0.533333,Divorced,Exec-managerial,Not-in-family,White,Male,0,0.5,United-States,>50K
0.232877,Private,Bachelors,0.8,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0.5,Philippines,>50K
0.178082,Private,Some-college,0.6,Divorced,Sales,Own-child,White,Male,0,0.397959,United-States,<=50K
0,Private,11th,0.4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.091837,United-States,<=50K
0.561644,Private,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0.44898,United-States,>50K
0.30137,Private,Bachelors,0.8,Never-married,Prof-specialty,Not-in-family,White,Female,0,0.632653,United-States,<=50K
0.191781,Federal-gov,Bachelors,0.8,Divorced,Protective-serv,Not-in-family,White,Male,0,0.5,United-States,>50K
0.191781,Private,Some-college,0.6,Married-civ-spouse,Other-service,Husband,White,Male,0,0.397959,United-States,>50K
0.479452,Private,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.5,United-States,>50K
0.109589,Private,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0.397959,United-States,<=50K
0.479452,Private,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0.295918,United-States,>50K
0.273973,Self-emp-inc,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.346939,United-States,>50K
0.30137,Private,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.5,United-States,>50K
0.369863,Local-gov,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.357143,United-States,>50K
0.616438,Private,Some-college,0.6,Divorced,Adm-clerical,Not-in-family,White,Female,0,0.397959,United-States,<=50K
0.60274,Private,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,<=50K
0.30137,Private,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.397959,United-States,>50K
0.479452,Private,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.857143,United-States,>50K
0.520548,Self-emp-not-inc,10th,0.333333,Married-civ-spouse,Sales,Husband,White,Male,0,0.5,United-States,>50K
0.09589,Private,Some-college,0.6,Never-married,Adm-clerical,Unmarried,White,Female,0,0.397959,United-States,<=50K
0.041096,Private,Masters,0.866667,Never-married,Exec-managerial,Own-child,White,Male,0,0.244898,United-States,<=50K
0.589041,Private,Bachelors,0.8,Divorced,Prof-specialty,Not-in-family,White,Female,0,0.479592,United-States,>50K
0.232877,Private,Some-college,0.6,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.433196,0.397959,United-States,>50K
0.123288,State-gov,Some-college,0.6,Never-married,Craft-repair,Not-in-family,White,Female,0,0.397959,United-States,<=50K
0.547945,Private,Masters,0.866667,Married-civ-spouse,Tech-support,Husband,White,Male,0,0.397959,United-States,>50K
0.39726,Private,Bachelors,0.8,Divorced,Prof-specialty,Not-in-family,White,Male,0,0.397959,United-States,<=50K
0.191781,Private,9th,0.266667,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0.397959,United-States,<=50K
0.39726,Local-gov,Bachelors,0.8,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0.397959,United-States,>50K
0.082192,Private,Bachelors,0.8,Never-married,Sales,Own-child,White,Female,0,0.602041,United-States,<=50K
0.178082,Private,HS-grad,0.533333,Never-married,Sales,Unmarried,White,Female,0,0.346939,Mexico,<=50K
0.191781,Self-emp-not-inc,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.602041,United-States,<=50K
0.328767,Self-emp-not-inc,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.44898,Mexico,<=50K
0.520548,Self-emp-not-inc,10th,0.333333,Married-civ-spouse,Sales,Husband,White,Male,0,0.346939,United-States,<=50K
0.438356,Private,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.5,United-States,<=50K
0.123288,Private,HS-grad,0.533333,Never-married,Transport-moving,Not-in-family,White,Male,0,0.397959,United-States,<=50K
0.356164,Local-gov,Bachelors,0.8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.397959,United-States,<=50K
0.219178,Private,Some-college,0.6,Never-married,Adm-clerical,Unmarried,White,Male,0,0.397959,United-States,<=50K
