@relation 'adult-data-training-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4,14'

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute salary {>50K,<=50K}

@data
41,?,27187,11,Married-civ-spouse,?,Husband,White,Male,0,2415,12,>50K
52,Private,192390,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,>50K
37,Private,32709,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,>50K
50,Private,378747,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,<=50K
55,Private,164332,9,Separated,Other-service,Not-in-family,White,Female,0,0,16,<=50K
39,Private,128392,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,40,>50K
64,?,193575,7,Never-married,?,Unmarried,White,Male,0,0,40,<=50K
54,State-gov,249096,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,<=50K
45,Private,229967,9,Divorced,Exec-managerial,Not-in-family,White,Male,13550,0,50,>50K
34,Private,122612,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,50,>50K
30,Private,121308,10,Divorced,Sales,Own-child,White,Male,0,0,40,<=50K
17,Private,206998,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,10,<=50K
58,Private,236596,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,>50K
39,Private,250157,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,63,<=50K
31,Federal-gov,206823,13,Divorced,Protective-serv,Not-in-family,White,Male,0,0,50,>50K
31,Private,113543,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,>50K
52,Private,317032,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,>50K
25,Private,88922,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,<=50K
52,Private,229983,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,3103,0,30,>50K
37,Self-emp-inc,217054,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,>50K
39,Private,280570,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,50,>50K
44,Local-gov,177937,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,>50K
62,Private,116812,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
61,Private,273803,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
39,Private,195253,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,>50K
52,Private,204402,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,85,>50K
55,Self-emp-not-inc,141409,6,Married-civ-spouse,Sales,Husband,White,Male,7688,0,50,>50K
24,Private,176321,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,<=50K
20,Private,190227,14,Never-married,Exec-managerial,Own-child,White,Male,0,0,25,<=50K
60,Private,125019,13,Divorced,Prof-specialty,Not-in-family,White,Female,8614,0,48,>50K
34,Private,182274,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1887,40,>50K
26,State-gov,109193,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,<=50K
57,Private,170287,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,>50K
46,Private,102359,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
31,Private,131568,5,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,<=50K
46,Local-gov,200947,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,>50K
23,Private,218899,13,Never-married,Sales,Own-child,White,Female,0,0,60,<=50K
30,Private,167558,9,Never-married,Sales,Unmarried,White,Female,0,0,35,<=50K
31,Self-emp-not-inc,234537,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,<=50K
