@relation all-data

@attribute score5 numeric
@attribute score2 numeric
@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}

@data
-9,-7,-4,True,True,True,True,16,21,24,26,1,18,Stop,True,False,False,True,South
-10,-8,-5,True,True,True,True,14,24,21,29,1,17,South,True,False,True,False,South
-11,-9,-6,True,True,True,True,12,20,22,26,1,16,South,True,False,False,False,South
-12,-10,-7,True,True,True,True,12,20,20,25,1,15,South,True,False,False,False,South
-13,-11,-8,True,True,True,True,9,19,20,24,1,14,South,True,False,False,False,South
-7,-5,-2,True,True,True,True,11,22,29,27,1,18,Stop,True,False,False,True,South
-8,-6,-3,True,True,True,True,13,22,29,24,1,17,South,True,False,True,False,South
-9,-7,-4,True,True,True,True,11,23,25,27,1,16,South,True,False,False,False,South
-10,-8,-5,True,True,True,True,11,28,27,24,1,15,South,True,False,False,False,South
-11,-9,-6,True,True,True,True,9,19,25,20,1,14,South,True,False,False,False,South
-12,-10,-7,True,True,True,True,11,21,23,22,1,13,South,True,False,True,False,South
-13,-11,-8,True,True,True,True,6,18,24,23,1,12,South,True,False,False,False,South
-14,-12,-9,True,True,True,True,8,16,24,21,1,11,South,True,False,True,False,South
-15,-13,-10,True,True,True,True,7,17,22,26,1,10,South,True,False,True,False,South
-16,-14,-11,True,True,True,True,8,16,23,26,1,9,South,True,False,True,False,South
-17,-15,-12,True,True,True,True,6,8,20,28,1,8,South,True,False,True,False,South
-18,-16,-13,True,True,True,True,5,11,22,22,1,7,South,True,False,True,False,South
-19,-17,-14,True,True,True,True,5,11,23,30,1,6,South,True,False,False,False,South
-20,-18,-15,True,True,True,True,2,11,23,27,1,5,South,True,False,False,False,East
-21,-19,-16,True,True,True,True,4,9,19,27,2,5,East,False,False,False,False,East
-22,-20,-17,True,True,True,True,5,6,18,29,3,5,East,False,False,False,False,North
-23,-21,-18,True,True,True,True,5,9,18,26,3,6,North,False,False,False,False,North
-24,-22,-19,True,True,True,True,0,8,21,25,3,7,North,True,False,False,False,North
175,-23,-20,True,True,True,True,0,6,17,24,3,8,North,True,False,False,False,East
174,-24,-21,True,True,True,True,0,7,16,22,4,8,East,False,False,False,False,North
173,175,-22,True,True,True,True,0,9,20,24,4,9,North,False,False,False,False,North
172,174,-23,True,True,True,True,3,13,22,22,4,10,North,False,False,False,True,West
171,173,-24,True,True,True,True,0,12,26,25,3,10,West,True,False,False,True,South
170,172,175,False,True,True,True,0,14,23,25,3,9,South,True,False,False,False,South
169,171,174,False,True,True,True,0,8,24,25,3,8,South,True,False,False,False,South
168,170,173,False,True,True,True,0,15,21,25,3,7,South,True,False,False,False,South
167,169,172,False,True,True,True,0,7,23,27,3,6,South,False,False,False,False,South
166,168,171,False,True,True,True,0,8,18,30,3,5,South,False,False,False,False,East
165,167,170,False,True,True,True,0,6,17,30,4,5,East,False,False,False,False,North
164,166,169,False,True,True,True,0,11,20,27,4,6,North,False,False,False,False,East
163,165,168,False,True,True,True,0,4,20,26,5,6,East,False,False,False,False,East
162,164,167,False,True,True,True,0,4,22,26,6,6,East,False,True,False,False,East
161,163,166,False,True,True,True,0,2,17,26,7,6,East,False,True,False,True,East
360,162,165,False,True,True,True,0,3,14,26,8,6,East,False,False,False,False,South
359,161,164,False,True,True,True,0,5,14,28,8,5,South,True,False,False,False,South
358,360,163,False,True,True,True,0,4,20,26,8,4,South,True,False,False,False,South
357,359,162,False,True,True,True,0,3,21,29,8,3,South,False,True,False,False,East
356,358,161,False,True,True,True,0,6,18,23,9,3,East,False,True,False,False,East
355,357,360,False,False,True,True,0,0,21,25,10,3,East,False,True,False,False,North
354,356,359,False,False,True,True,0,0,16,17,10,4,North,False,False,False,False,North
353,355,358,False,False,True,True,0,0,12,25,10,5,North,False,False,False,False,North
352,354,357,False,False,True,True,0,0,15,25,10,6,North,False,False,False,False,North
351,353,356,False,False,True,True,0,0,13,27,10,7,North,False,False,False,False,North
350,352,355,False,False,True,True,0,0,11,21,10,8,North,False,False,False,False,North
349,351,354,False,False,True,True,0,0,16,19,10,9,North,False,False,False,False,North
348,350,353,False,False,True,True,0,0,12,20,10,10,North,False,False,False,False,North
347,349,352,False,False,True,True,0,0,14,19,10,11,North,False,False,False,False,North
346,348,351,False,False,True,True,0,0,17,17,10,12,North,False,False,False,False,North
345,347,350,False,False,True,True,0,0,16,18,10,13,North,False,False,True,False,North
344,346,349,False,False,True,True,0,0,19,13,10,14,North,False,False,True,False,North
343,345,348,False,False,True,True,0,0,20,14,10,15,North,False,False,False,False,East
342,344,347,False,False,True,True,0,0,19,12,11,15,East,False,True,False,False,East
341,343,346,False,False,True,True,0,0,19,12,12,15,East,False,False,False,False,East
340,342,345,False,False,True,True,0,0,17,14,13,15,East,False,False,False,False,East
339,341,344,False,False,True,True,0,0,9,9,14,15,East,False,False,False,False,East
338,340,343,False,False,True,True,0,0,13,9,15,15,East,False,False,False,False,South
337,339,342,False,False,True,True,0,0,14,12,15,14,South,False,True,False,False,East
336,338,341,False,False,True,True,0,0,13,5,16,14,East,False,True,False,False,East
335,337,340,False,False,True,True,0,0,14,7,17,14,East,False,False,False,False,East
334,336,339,False,False,True,True,0,0,12,4,18,14,East,False,False,False,True,East
533,335,338,False,False,True,True,0,0,6,3,19,14,East,False,False,False,True,East
532,334,337,False,False,True,True,0,0,10,3,20,14,East,False,False,True,False,North
531,533,336,False,False,True,True,0,0,11,2,20,15,North,True,False,False,False,North
530,532,335,False,False,True,True,0,0,10,3,20,16,North,True,False,False,False,East
529,531,334,False,False,True,True,0,0,10,1,21,16,East,False,False,False,False,East
528,530,533,False,False,True,False,0,0,13,0,22,16,East,False,False,False,True,South
527,529,532,False,False,True,False,0,0,11,0,22,15,South,False,False,False,False,South
526,528,531,False,False,True,False,0,0,11,0,22,14,South,True,False,False,False,South
525,527,530,False,False,True,False,0,0,6,0,22,13,South,True,True,False,False,North
524,526,529,False,False,True,False,0,0,10,0,22,14,North,True,False,False,False,North
523,525,528,False,False,True,False,0,0,11,0,22,15,North,False,False,False,False,North
522,524,527,False,False,True,False,0,0,13,0,22,16,North,False,False,False,True,West
521,523,526,False,False,True,False,0,0,10,0,21,16,West,False,False,False,False,West
520,522,525,False,False,True,False,0,0,9,0,20,16,West,True,False,False,False,South
519,521,524,False,False,True,False,0,0,10,0,20,15,South,True,False,False,False,South
518,520,523,False,False,True,False,0,0,11,0,20,14,South,False,False,True,False,South
517,519,522,False,False,True,False,0,0,10,0,20,13,South,False,False,True,False,South
516,518,521,False,False,True,False,0,0,7,0,20,12,South,False,False,True,False,South
515,517,520,False,False,True,False,0,0,4,0,20,11,South,False,False,True,False,South
-8,-6,-3,True,True,True,True,10,22,30,29,1,18,Stop,True,False,False,True,South
-9,-7,-4,True,True,True,True,12,21,28,27,1,17,South,True,False,True,False,South
-10,-8,-5,True,True,True,True,10,20,29,26,1,16,South,True,False,False,False,South
-11,-9,-6,True,True,True,True,11,20,28,26,1,15,South,True,False,False,False,South
-12,-10,-7,True,True,True,True,10,20,26,25,1,14,South,True,False,False,False,South
-13,-11,-8,True,True,True,True,10,19,25,21,1,13,South,True,False,True,False,South
-14,-12,-9,True,True,True,True,8,14,25,29,1,12,South,True,False,False,False,South
-15,-13,-10,True,True,True,True,8,16,21,28,1,11,South,True,False,True,False,South
-16,-14,-11,True,True,True,True,6,16,22,29,1,10,South,True,False,True,False,South
-17,-15,-12,True,True,True,True,9,11,20,27,1,9,South,True,False,True,False,South
-18,-16,-13,True,True,True,True,7,9,17,30,1,8,South,True,False,True,False,South
181,-17,-14,True,True,True,True,5,11,16,30,1,7,South,True,False,True,False,South
180,-18,-15,True,True,True,True,4,11,16,29,1,6,South,True,False,False,False,East
179,181,-16,True,True,True,True,4,9,12,28,2,6,East,False,False,False,True,East
178,180,-17,True,True,True,True,2,8,14,22,3,6,East,False,False,False,False,East
177,179,-18,True,True,True,True,1,7,15,27,4,6,East,False,False,False,False,East
176,178,181,False,True,True,True,0,8,12,26,5,6,East,False,False,False,False,East
175,177,180,False,True,True,True,0,6,12,26,6,6,East,False,True,False,False,East
174,176,179,False,True,True,True,0,6,11,24,7,6,East,False,True,False,True,East
173,175,178,False,True,True,True,0,0,8,23,8,6,East,False,False,False,False,North
172,174,177,False,True,True,True,0,3,11,22,8,7,North,True,False,False,False,North
371,173,176,False,True,True,True,0,3,10,20,8,8,North,True,False,False,False,North
370,172,175,False,True,True,True,0,4,16,18,8,9,North,True,False,False,False,East
369,371,174,False,True,True,True,0,2,13,20,9,9,East,False,False,False,False,East
368,370,173,False,True,True,True,0,1,9,14,10,9,East,False,False,False,False,North
367,369,172,False,True,True,True,0,0,10,18,10,10,North,False,False,False,False,West
366,368,371,False,False,True,True,0,0,11,26,9,10,West,False,False,False,False,South
365,367,370,False,False,True,True,0,0,9,22,9,9,South,False,False,False,False,North
364,366,369,False,False,True,True,0,0,12,18,9,10,North,False,False,False,False,North
363,365,368,False,False,True,True,0,0,11,19,9,11,North,False,False,False,False,East
362,364,367,False,False,True,True,0,0,8,17,10,11,East,False,False,False,False,North
361,363,366,False,False,True,True,0,0,14,21,10,12,North,False,False,False,False,North
360,362,365,False,False,True,True,0,0,14,18,10,13,North,False,False,True,False,North
359,361,364,False,False,True,True,0,0,9,14,10,14,North,False,False,True,False,North
358,360,363,False,False,True,True,0,0,15,16,10,15,North,False,False,False,False,East
357,359,362,False,False,True,True,0,0,15,14,11,15,East,False,True,False,False,East
356,358,361,False,False,True,True,0,0,15,14,12,15,East,False,False,False,False,East
355,357,360,False,False,True,True,0,0,15,12,13,15,East,False,False,False,False,East
354,356,359,False,False,True,True,0,0,8,11,14,15,East,False,False,False,False,South
353,355,358,False,False,True,True,0,0,13,12,14,14,South,False,False,False,False,East
352,354,357,False,False,True,True,0,0,10,17,15,14,East,False,True,False,False,East
351,353,356,False,False,True,True,0,0,13,14,16,14,East,False,True,False,False,East
350,352,355,False,False,True,True,0,0,13,10,17,14,East,False,False,False,False,East
349,351,354,False,False,True,True,0,0,9,13,18,14,East,False,False,False,True,East
348,350,353,False,False,True,True,0,0,14,9,19,14,East,False,False,False,True,East
347,349,352,False,False,True,True,0,0,18,9,20,14,East,False,False,True,False,North
346,348,351,False,False,True,True,0,0,14,8,20,15,North,True,False,False,False,North
345,347,350,False,False,True,True,0,0,20,2,20,16,North,True,False,False,False,East
344,346,349,False,False,True,True,0,0,18,4,21,16,East,False,False,False,False,North
343,345,348,False,False,True,True,0,0,14,3,21,17,North,False,False,True,False,North
542,344,347,False,False,True,True,0,0,20,2,21,18,North,False,False,False,True,East
541,343,346,False,False,True,True,0,0,22,6,22,18,East,False,True,False,True,East
540,542,345,False,False,True,True,0,0,21,4,23,18,East,False,True,False,True,East
539,541,344,False,False,True,True,0,0,19,3,24,18,East,False,True,False,True,East
538,540,343,False,False,True,True,0,0,25,0,25,18,East,False,False,True,True,South
537,539,542,False,False,True,False,0,0,21,0,25,17,South,True,False,True,False,South
536,538,541,False,False,True,False,0,0,20,0,25,16,South,False,False,True,False,South
535,537,540,False,False,True,False,0,0,16,0,25,15,South,False,False,True,False,West
