Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules
all-data,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1027.0,115.0,83.0,32.0,0.0,72.17391304347827,27.82608695652174,0.0,0.592920353982301,0.13110663310448892,0.31073912837713535,47.200487838207316,83.30911346632531,217.78637262360573,14034.796237480119,-13817.009864856513,1.8937945445530933,122.0417064128706,-120.14791186831751,127.11791171819256,1.1053731453755875,6772.856335819262,0.5238095238095238,11.0,0.06382978723404255,6.0,0.9361702127659575,88.0,0.47619047619047616,10.0,0.6470588235294118,0.5238095238095238,0.5789473684210527,0.8457446808510638,0.7217391304347827,0.1328545594750149,0.8671454405249851,0.2782608695652174,0.7239556692242115,0.7217391304347827,0.7194109018365312,0.8340605875856721,0.046,0.0,0.033336,1.32E-4,57706.0,189881.0,24809.0,'Number of leaves: 111\nSize of the tree: 218\n',218.0,111.0,111.0
all-data,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1027.0,115.0,66.0,49.0,0.0,57.391304347826086,42.608695652173914,0.0,0.375968992248062,0.17336253021150203,0.36608788228865724,62.4132876048106,98.1481060448151,217.78637262360573,18360.328766379163,-18142.542393755557,1.8937945445530933,159.65503275112317,-157.76123820657006,98.94657452089916,0.8604049958339057,5271.884387442904,0.38095238095238093,8.0,0.10638297872340426,10.0,0.8936170212765957,84.0,0.6190476190476191,13.0,0.4444444444444444,0.38095238095238093,0.41025641025641024,0.8069908814589666,0.5739130434782609,0.2056638557886768,0.7943361442113231,0.4260869565217391,0.5671363922781691,0.5739130434782609,0.5676914591980315,0.7725637375619001,0.022,0.001,0.022515,1.1E-4,59872.0,189881.0,24809.0,'Number of leaves: 117\nSize of the tree: 227\n',227.0,117.0,117.0
all-data,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,77.0,37.0,0.0,67.54385964912281,32.45614035087719,0.0,0.5429624011268825,0.13491334433517266,0.31498680940893387,48.726799247977674,84.75275419038228,212.19252471160993,11894.937112344986,-11682.744587633375,1.861337936066754,104.34155361706128,-102.48021568099452,124.90088832402822,1.0956218274037564,6642.026972708553,0.7619047619047619,16.0,0.10752688172043011,10.0,0.8924731182795699,83.0,0.23809523809523808,5.0,0.6153846153846154,0.7619047619047619,0.6808510638297872,0.9024577572964669,0.6754385964912281,0.12987246530556115,0.8701275346944387,0.32456140350877194,0.6860798578250101,0.6754385964912281,0.6756595878555353,0.8480561932877954,0.026,0.0,0.025965,1.06E-4,57225.0,190062.0,24628.0,'Number of leaves: 110\nSize of the tree: 216\n',216.0,110.0,110.0
all-data,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,76.0,38.0,0.0,66.66666666666667,33.333333333333336,0.0,0.5178094390026713,0.1477880621134303,0.33331696338089084,53.383979027157864,89.69839865349267,212.14551731112823,12984.622832758543,-12772.477315447415,1.8609255904484931,113.90020028735564,-112.03927469690716,117.5464801281826,1.0311094748086191,6250.784258869641,0.6190476190476191,13.0,0.10752688172043011,10.0,0.8924731182795699,83.0,0.38095238095238093,8.0,0.5652173913043478,0.6190476190476191,0.5909090909090909,0.7985151049667178,0.6666666666666666,0.15687524862565527,0.8431247513743447,0.3333333333333333,0.6742553320443002,0.6666666666666666,0.6694644747910441,0.8122578982890496,0.022,0.0,0.021649,1.04E-4,56744.0,190062.0,24628.0,'Number of leaves: 109\nSize of the tree: 214\n',214.0,109.0,109.0
all-data,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,65.0,49.0,0.0,57.01754385964912,42.98245614035088,0.0,0.37905735882614494,0.17526936261963474,0.37133773172420337,63.3107697901103,99.93010723915316,212.14551731112823,19422.051301629752,-19209.905784318624,1.8609255904484931,170.36887106692765,-168.50794547647916,95.42800809429058,0.8370877903007945,5074.587432993336,0.5714285714285714,12.0,0.0967741935483871,9.0,0.9032258064516129,84.0,0.42857142857142855,9.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8469022017409115,0.5701754385964912,0.19731261274258566,0.8026873872574143,0.4298245614035088,0.5743908382066276,0.5701754385964912,0.5671903292104057,0.7737866737316778,0.022,0.0,0.021895,1.07E-4,55543.0,190062.0,24628.0,'Number of leaves: 108\nSize of the tree: 209\n',209.0,108.0,108.0
all-data,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,75.0,39.0,0.0,65.78947368421052,34.21052631578947,0.0,0.49853372434017595,0.15292736188973324,0.35488888859160245,55.24039603100124,95.50358518719634,212.14551731112823,30113.936993152718,-29901.79147584159,1.8609255904484931,264.1573420451993,-262.2964164547508,106.42903889003172,0.9335880604388748,5659.590659413826,0.42857142857142855,9.0,0.053763440860215055,5.0,0.946236559139785,88.0,0.5714285714285714,12.0,0.6428571428571429,0.42857142857142855,0.5142857142857143,0.6756272401433692,0.6578947368421053,0.16024660044206182,0.8397533995579382,0.34210526315789475,0.6582680104516611,0.6578947368421053,0.6528043593833067,0.7426341344362098,0.021,0.0,0.021395,1.0899999999999999E-4,63478.0,190062.0,24628.0,'Number of leaves: 123\nSize of the tree: 242\n',242.0,123.0,123.0
all-data,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,82.0,32.0,0.0,71.9298245614035,28.07017543859649,0.0,0.5958790295779329,0.12983345752307604,0.30519871849422114,46.89841976624324,82.13154242841996,212.14551731112823,16167.930879689713,-15955.785362378585,1.8609255904484931,141.8239550849975,-139.963029494549,128.46394843088035,1.1268767406217575,6831.343871873738,0.5714285714285714,12.0,0.10752688172043011,10.0,0.8924731182795699,83.0,0.42857142857142855,9.0,0.5454545454545454,0.5714285714285714,0.5581395348837208,0.7544802867383512,0.7192982456140351,0.11819215229822805,0.8818078477017721,0.2807017543859649,0.7202350676034887,0.7192982456140351,0.718310208763085,0.8346907366464221,0.02,0.001,0.020706,9.800000000000001E-5,53377.0,190062.0,24628.0,'Number of leaves: 102\nSize of the tree: 200\n',200.0,102.0,102.0
all-data,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,86.0,28.0,0.0,75.43859649122807,24.56140350877193,0.0,0.6529303033597912,0.12296989115381826,0.2901141592115845,44.35929423638375,77.95377087683447,213.6788510432189,10809.890378302734,-10596.211527259515,1.8743758863440256,94.82359980967311,-92.94922392332907,138.2842854740946,1.2130200480183735,7359.338643123527,0.8,16.0,0.07446808510638298,7.0,0.925531914893617,87.0,0.2,4.0,0.6956521739130435,0.8,0.7441860465116279,0.8694148936170213,0.7543859649122807,0.09828895877333699,0.901711041226663,0.24561403508771928,0.763845220450679,0.7543859649122807,0.7551545353870935,0.8635404326519956,0.022,0.0,0.02191,1.02E-4,57467.0,190062.0,24628.0,'Number of leaves: 112\nSize of the tree: 217\n',217.0,112.0,112.0
all-data,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,86.0,28.0,0.0,75.43859649122807,24.56140350877193,0.0,0.6460412508316701,0.11405043278467952,0.2838611209332987,41.141751515044874,76.2735774159077,213.6788510432189,9730.345522792133,-9516.666671748913,1.8743758863440256,85.35390809466783,-83.4795322083238,140.37475582953624,1.2313575072766336,7470.591192293244,0.6,12.0,0.07446808510638298,7.0,0.925531914893617,87.0,0.4,8.0,0.631578947368421,0.6,0.6153846153846154,0.8704787234042554,0.7543859649122807,0.10992533167604139,0.8900746683239588,0.24561403508771928,0.7595212728176718,0.7543859649122807,0.7553737168601712,0.8817166801585796,0.023,0.0,0.022934999999999997,1.11E-4,61796.0,190062.0,24628.0,'Number of leaves: 121\nSize of the tree: 235\n',235.0,121.0,121.0
all-data,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,84.0,30.0,0.0,73.6842105263158,26.31578947368421,0.0,0.6144741291849847,0.12063997360724284,0.2966268837138725,43.405532996651836,79.47071195609071,216.31480111662088,16160.092753118503,-15943.777952001881,1.8974982554089552,141.75519958875879,-139.85770133334984,132.25415705363883,1.1601241846810424,7047.992107505148,0.47619047619047616,10.0,0.06451612903225806,6.0,0.9354838709677419,87.0,0.5238095238095238,11.0,0.625,0.47619047619047616,0.5405405405405405,0.7939068100358423,0.7368421052631579,0.1276751093576501,0.8723248906423499,0.2631578947368421,0.7350305346493399,0.7368421052631579,0.7285825785234419,0.8404464108307022,0.025,0.0,0.023836,1.01E-4,51695.0,190062.0,24628.0,'Number of leaves: 100\nSize of the tree: 193\n',193.0,100.0,100.0
all-data,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1027.0,115.0,77.0,38.0,0.0,66.95652173913044,33.04347826086956,0.0,0.5302085572995056,0.14435317892039515,0.32351334697190404,51.97639400218586,86.74684383344176,217.7393652231237,17250.17147849877,-17032.43211327565,1.893385784548902,150.00149111738062,-148.10810533283174,122.34774677820185,1.0638934502452335,6518.54747847264,0.5714285714285714,12.0,0.13829787234042554,13.0,0.8617021276595744,81.0,0.42857142857142855,9.0,0.48,0.5714285714285714,0.5217391304347826,0.756079027355623,0.6695652173913044,0.1370672939359341,0.8629327060640658,0.33043478260869563,0.6780073884626315,0.6695652173913044,0.6693953142006073,0.8066014441823878,0.024,0.0,0.024627,1.1999999999999999E-4,53619.0,189881.0,24809.0,'Number of leaves: 104\nSize of the tree: 201\n',201.0,104.0,104.0
all-data,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1027.0,115.0,86.0,29.0,0.0,74.78260869565217,25.217391304347824,0.0,0.6271243291592129,0.11727325129364015,0.2951455090257965,42.22588488000655,79.14029396081135,217.7393652231237,16158.579946744632,-15940.840581521508,1.893385784548902,140.50939084125767,-138.61600505670876,134.1611205186351,1.1666184392924792,7147.950468194686,0.5238095238095238,11.0,0.0425531914893617,4.0,0.9574468085106383,90.0,0.47619047619047616,10.0,0.7333333333333333,0.5238095238095238,0.611111111111111,0.8596757852077,0.7478260869565218,0.13009399316059816,0.8699060068394019,0.25217391304347825,0.7737225093746832,0.7478260869565218,0.7467705421125357,0.853082001983482,0.02,0.0,0.020558,1.07E-4,56744.0,189881.0,24809.0,'Number of leaves: 109\nSize of the tree: 214\n',214.0,109.0,109.0
all-data,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,75.0,39.0,0.0,65.78947368421052,34.21052631578947,0.0,0.5000000000000001,0.14378719115440758,0.3223346116101301,51.93878508989043,86.74295541023687,212.1455173111278,14039.690822116314,-13827.545304805186,1.8609255904484896,123.1551826501431,-121.29425705969462,117.1226971536451,1.0273920802951324,6228.248697247318,0.47619047619047616,10.0,0.0967741935483871,9.0,0.9032258064516129,84.0,0.5238095238095238,11.0,0.5263157894736842,0.47619047619047616,0.5,0.7828981054787506,0.6578947368421053,0.16629139852409233,0.8337086014759076,0.34210526315789475,0.6555595701687476,0.6578947368421053,0.6558969810004701,0.82316795700267,0.02,0.0,0.020413,9.900000000000001E-5,53858.0,190062.0,24628.0,'Number of leaves: 103\nSize of the tree: 202\n',202.0,103.0,103.0
all-data,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,83.0,31.0,0.0,72.80701754385964,27.19298245614035,0.0,0.6110499669821704,0.13177454165195732,0.31172936574842053,47.599577849949725,83.88899453925988,212.1455173111278,16175.47543759373,-15963.329920282602,1.8609255904484896,141.89013541748886,-140.02920982704038,129.38794384930208,1.134981963590369,6880.47929481826,0.8095238095238095,17.0,0.0967741935483871,9.0,0.9032258064516129,84.0,0.19047619047619047,4.0,0.6538461538461539,0.8095238095238095,0.7234042553191489,0.8397337429595494,0.7280701754385965,0.12014700673125746,0.8798529932687424,0.2719298245614035,0.7405554718236294,0.7280701754385965,0.7293454144383312,0.8200128551100387,0.022,0.0,0.022178999999999997,1.03E-4,58668.0,190062.0,24628.0,'Number of leaves: 113\nSize of the tree: 222\n',222.0,113.0,113.0
all-data,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,73.0,41.0,0.0,64.03508771929825,35.96491228070175,0.0,0.4798575561985311,0.14726456647129335,0.32508072047028824,53.19488201904366,87.48195640432331,212.1455173111278,16179.669714356065,-15967.524197044937,1.8609255904484896,141.92692731891285,-140.06600172846436,116.72414657701667,1.0238960226054095,6207.054922086753,0.42857142857142855,9.0,0.08602150537634409,8.0,0.9139784946236559,85.0,0.5714285714285714,12.0,0.5294117647058824,0.42857142857142855,0.4736842105263158,0.8556067588325653,0.6403508771929824,0.15811246781257451,0.8418875321874254,0.35964912280701755,0.6590815273477811,0.6403508771929824,0.6423242139850596,0.8256870527254656,0.021,0.0,0.020268,1.03E-4,53858.0,190062.0,24628.0,'Number of leaves: 103\nSize of the tree: 202\n',202.0,103.0,103.0
all-data,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,82.0,32.0,0.0,71.9298245614035,28.07017543859649,0.0,0.5895589558955896,0.1297538362974881,0.2960865789250471,46.869659000480986,79.67938902052981,212.1455173111278,10812.703381634257,-10600.55786432313,1.8609255904484896,94.84827527749349,-92.987349687045,128.7865918871799,1.129706946378771,6848.5011243551835,0.6190476190476191,13.0,0.0967741935483871,9.0,0.9032258064516129,84.0,0.38095238095238093,8.0,0.5909090909090909,0.6190476190476191,0.6046511627906977,0.7731694828469022,0.7192982456140351,0.1346138244605121,0.865386175539488,0.2807017543859649,0.7276049973418394,0.7192982456140351,0.7197275022925322,0.8521559077507618,0.022,0.0,0.021684000000000002,1.07E-4,54820.0,190062.0,24628.0,'Number of leaves: 105\nSize of the tree: 206\n',206.0,105.0,105.0
all-data,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,88.0,26.0,0.0,77.19298245614036,22.80701754385965,0.0,0.6644021739130435,0.11434517949879655,0.28352814292825335,41.2981727928248,76.28824536730674,212.19252471161022,11873.913840712692,-11661.721316001082,1.8613379360667563,104.1571389536201,-102.29580101755334,139.14642265007163,1.2205826548251897,7399.5814185084655,0.6190476190476191,13.0,0.010752688172043012,1.0,0.989247311827957,92.0,0.38095238095238093,8.0,0.9285714285714286,0.6190476190476191,0.742857142857143,0.8707117255504352,0.7719298245614035,0.12040132299898573,0.8795986770010141,0.22807017543859648,0.7889113810166442,0.7719298245614035,0.7701455554385753,0.8598437586445932,0.022,0.001,0.022058,9.800000000000001E-5,53858.0,190062.0,24628.0,'Number of leaves: 103\nSize of the tree: 202\n',202.0,103.0,103.0
