@relation filter-data

@attribute distance-ghost1 numeric
@attribute wall-east {True,False}
@attribute wall-west {True,False}
@attribute diferencia-score5-score numeric
@attribute diferencia-score2-score numeric
@attribute move {North,South,East,West,Stop}

@data
16,True,False,-5,-3,South
14,True,True,-5,-3,South
12,True,False,-5,-3,South
12,True,False,-5,-3,South
9,True,False,-5,-3,South
11,True,False,-5,-3,South
13,True,True,-5,-3,South
11,True,False,-5,-3,South
11,True,False,-5,-3,South
9,True,False,-5,-3,South
11,True,True,-5,-3,South
6,True,False,-5,-3,South
8,True,True,-5,-3,South
7,True,True,-5,-3,South
8,True,True,-5,-3,South
6,True,True,-5,-3,South
5,True,True,-5,-3,South
5,True,False,-5,-3,South
2,True,False,-5,-3,East
4,False,False,-5,-3,East
5,False,False,-5,-3,North
5,False,False,-5,-3,North
0,True,False,-5,-3,North
0,True,False,195,-3,East
0,False,False,195,-3,North
0,False,False,195,197,North
3,False,False,195,197,West
0,True,False,195,197,South
0,True,False,-5,-3,South
0,True,False,-5,-3,South
0,True,False,-5,-3,South
0,False,False,-5,-3,South
0,False,False,-5,-3,East
0,False,False,-5,-3,North
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,195,-3,South
0,True,False,195,-3,South
0,True,False,195,197,South
0,False,False,195,197,East
0,False,False,195,197,East
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,North
0,False,True,-5,-3,North
0,False,True,-5,-3,North
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,-5,-3,South
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,-5,-3,East
0,False,False,195,-3,East
0,False,True,195,-3,North
0,True,False,195,197,North
0,True,False,195,197,East
0,False,False,195,197,East
0,False,False,-5,-3,South
0,False,False,-5,-3,South
0,True,False,-5,-3,South
0,True,False,-5,-3,North
0,True,False,-5,-3,North
0,False,False,-5,-3,North
0,False,False,-5,-3,West
