@relation manual-filter-data

@attribute score5 numeric
@attribute score2 numeric
@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute distancia-media numeric
@attribute move {North,South,East,West,Stop}

@data
-9,-7,-4,True,True,True,True,16,21,24,26,1,18,Stop,21.75,South
-10,-8,-5,True,True,True,True,14,24,21,29,1,17,South,22,South
-11,-9,-6,True,True,True,True,12,20,22,26,1,16,South,20,South
-12,-10,-7,True,True,True,True,12,20,20,25,1,15,South,19.25,South
-13,-11,-8,True,True,True,True,9,19,20,24,1,14,South,18,South
-7,-5,-2,True,True,True,True,11,22,29,27,1,18,Stop,22.25,South
-8,-6,-3,True,True,True,True,13,22,29,24,1,17,South,22,South
-9,-7,-4,True,True,True,True,11,23,25,27,1,16,South,21.5,South
-10,-8,-5,True,True,True,True,11,28,27,24,1,15,South,22.5,South
-11,-9,-6,True,True,True,True,9,19,25,20,1,14,South,18.25,South
-12,-10,-7,True,True,True,True,11,21,23,22,1,13,South,19.25,South
-13,-11,-8,True,True,True,True,6,18,24,23,1,12,South,17.75,South
-14,-12,-9,True,True,True,True,8,16,24,21,1,11,South,17.25,South
-15,-13,-10,True,True,True,True,7,17,22,26,1,10,South,18,South
-16,-14,-11,True,True,True,True,8,16,23,26,1,9,South,18.25,South
-17,-15,-12,True,True,True,True,6,8,20,28,1,8,South,15.5,South
-18,-16,-13,True,True,True,True,5,11,22,22,1,7,South,15,South
-19,-17,-14,True,True,True,True,5,11,23,30,1,6,South,17.25,South
-20,-18,-15,True,True,True,True,2,11,23,27,1,5,South,15.75,East
-21,-19,-16,True,True,True,True,4,9,19,27,2,5,East,14.75,East
-22,-20,-17,True,True,True,True,5,6,18,29,3,5,East,14.5,North
-23,-21,-18,True,True,True,True,5,9,18,26,3,6,North,14.5,North
-24,-22,-19,True,True,True,True,0,8,21,25,3,7,North,13.5,North
175,-23,-20,True,True,True,True,0,6,17,24,3,8,North,11.75,East
174,-24,-21,True,True,True,True,0,7,16,22,4,8,East,11.25,North
173,175,-22,True,True,True,True,0,9,20,24,4,9,North,13.25,North
172,174,-23,True,True,True,True,3,13,22,22,4,10,North,15,West
171,173,-24,True,True,True,True,0,12,26,25,3,10,West,15.75,South
170,172,175,False,True,True,True,0,14,23,25,3,9,South,15.5,South
169,171,174,False,True,True,True,0,8,24,25,3,8,South,14.25,South
168,170,173,False,True,True,True,0,15,21,25,3,7,South,15.25,South
167,169,172,False,True,True,True,0,7,23,27,3,6,South,14.25,South
166,168,171,False,True,True,True,0,8,18,30,3,5,South,14,East
165,167,170,False,True,True,True,0,6,17,30,4,5,East,13.25,North
164,166,169,False,True,True,True,0,11,20,27,4,6,North,14.5,East
163,165,168,False,True,True,True,0,4,20,26,5,6,East,12.5,East
162,164,167,False,True,True,True,0,4,22,26,6,6,East,13,East
161,163,166,False,True,True,True,0,2,17,26,7,6,East,11.25,East
360,162,165,False,True,True,True,0,3,14,26,8,6,East,10.75,South
359,161,164,False,True,True,True,0,5,14,28,8,5,South,11.75,South
358,360,163,False,True,True,True,0,4,20,26,8,4,South,12.5,South
357,359,162,False,True,True,True,0,3,21,29,8,3,South,13.25,East
356,358,161,False,True,True,True,0,6,18,23,9,3,East,11.75,East
355,357,360,False,False,True,True,0,0,21,25,10,3,East,11.5,North
354,356,359,False,False,True,True,0,0,16,17,10,4,North,8.25,North
353,355,358,False,False,True,True,0,0,12,25,10,5,North,9.25,North
352,354,357,False,False,True,True,0,0,15,25,10,6,North,10,North
351,353,356,False,False,True,True,0,0,13,27,10,7,North,10,North
350,352,355,False,False,True,True,0,0,11,21,10,8,North,8,North
349,351,354,False,False,True,True,0,0,16,19,10,9,North,8.75,North
348,350,353,False,False,True,True,0,0,12,20,10,10,North,8,North
347,349,352,False,False,True,True,0,0,14,19,10,11,North,8.25,North
346,348,351,False,False,True,True,0,0,17,17,10,12,North,8.5,North
345,347,350,False,False,True,True,0,0,16,18,10,13,North,8.5,North
344,346,349,False,False,True,True,0,0,19,13,10,14,North,8,North
343,345,348,False,False,True,True,0,0,20,14,10,15,North,8.5,East
342,344,347,False,False,True,True,0,0,19,12,11,15,East,7.75,East
341,343,346,False,False,True,True,0,0,19,12,12,15,East,7.75,East
340,342,345,False,False,True,True,0,0,17,14,13,15,East,7.75,East
339,341,344,False,False,True,True,0,0,9,9,14,15,East,4.5,East
338,340,343,False,False,True,True,0,0,13,9,15,15,East,5.5,South
337,339,342,False,False,True,True,0,0,14,12,15,14,South,6.5,East
336,338,341,False,False,True,True,0,0,13,5,16,14,East,4.5,East
335,337,340,False,False,True,True,0,0,14,7,17,14,East,5.25,East
334,336,339,False,False,True,True,0,0,12,4,18,14,East,4,East
533,335,338,False,False,True,True,0,0,6,3,19,14,East,2.25,East
532,334,337,False,False,True,True,0,0,10,3,20,14,East,3.25,North
531,533,336,False,False,True,True,0,0,11,2,20,15,North,3.25,North
530,532,335,False,False,True,True,0,0,10,3,20,16,North,3.25,East
529,531,334,False,False,True,True,0,0,10,1,21,16,East,2.75,East
528,530,533,False,False,True,False,0,0,13,0,22,16,East,3.25,South
527,529,532,False,False,True,False,0,0,11,0,22,15,South,2.75,South
526,528,531,False,False,True,False,0,0,11,0,22,14,South,2.75,South
525,527,530,False,False,True,False,0,0,6,0,22,13,South,1.5,North
524,526,529,False,False,True,False,0,0,10,0,22,14,North,2.5,North
523,525,528,False,False,True,False,0,0,11,0,22,15,North,2.75,North
522,524,527,False,False,True,False,0,0,13,0,22,16,North,3.25,West
521,523,526,False,False,True,False,0,0,10,0,21,16,West,2.5,West
520,522,525,False,False,True,False,0,0,9,0,20,16,West,2.25,South
519,521,524,False,False,True,False,0,0,10,0,20,15,South,2.5,South
